Id,Idu,Cliente,Fecha emision,Concepto,Total,Tipo
1,1,jesus,2024-11-26,MATRICULA,100,1
2,2,eliza,2024-11-26,MATRICULA,100,1
3,3,Juan,2024-11-27,MATRICULA,100,1
4,4,Ana,2024-11-27,MATRICULA,100,1
5,5,Carlos,2024-11-27,MATRICULA,100,1
6,6,María,2024-11-27,MATRICULA,100,1
7,7,Luis,2024-11-27,MATRICULA,100,1
8,8,Sofia,2024-11-27,MATRICULA,100,1
9,9,Pedro,2024-11-27,MATRICULA,100,1
10,10,Laura,2024-11-27,MATRICULA,100,1
11,11,David,2024-11-27,MATRICULA,100,1
12,12,Isabel,2024-11-27,MATRICULA,100,1
13,13,Felipe Ramírez,2024-11-27,MATRICULA,100,1
14,14,Paula Díaz,2024-11-27,MATRICULA,100,1
15,15,Javier Castro,2024-11-27,MATRICULA,100,1
16,16,Elena Ruiz,2024-11-27,MATRICULA,100,1
17,17,Luisina Vázquez,2024-11-27,MATRICULA,100,1
18,18,Marta Soto,2024-11-27,MATRICULA,100,1
19,19,José Torres,2024-11-27,MATRICULA,100,1
20,20,Carmen Moreno,2024-11-27,MATRICULA,100,1
21,21,Tony Stark,2024-11-27,MATRICULA,100,1
22,22,Victor Pérez,2024-11-27,MATRICULA,100,1
23,23,Mercedes Gómez,2024-11-27,MATRICULA,100,1
24,24,Antonio Sánchez,2024-11-27,MATRICULA,100,1
25,25,Beatriz Martínez,2024-11-27,MATRICULA,100,1
26,26,Pablo García,2024-11-27,MATRICULA,100,1
27,27,Raquel Rodríguez,2024-11-27,MATRICULA,100,1
28,28,Luis Martínez,2024-11-27,MATRICULA,100,1
29,29,Clara López,2024-11-27,MATRICULA,100,1
30,30,Héctor Díaz,2024-11-27,MATRICULA,100,1
31,31,Patricia Hernández,2024-11-27,MATRICULA,100,1
32,32,Enrique Ramírez,2024-11-27,MATRICULA,100,1
33,33,Alicia Soto,2024-11-27,MATRICULA,100,1
